Date,BTC_weighted_price,BTC_volume,BTC_open,BTC_high,BTC_low,BTC_close,BTC_pcnt_change,ETH_weighted_price,ETH_volume,ETH_open,ETH_high,ETH_low,ETH_close,ETH_pcnt_change,LTC_weighted_price,LTC_volume,LTC_open,LTC_high,LTC_low,LTC_close,LTC_pcnt_change
2012-01-04,5.29757461686,107.23326023,4.93,5.57,4.93,5.57,12.981744421906704,,,,,,,,,,,,,,
2012-01-05,6.19961419834,94.80182926,5.72,6.65,5.72,6.65,16.258741258741267,,,,,,,,,,,,,,
2012-01-06,6.57577205742,33.88274671,6.65,6.9,6.0,6.0,-9.774436090225569,,,,,,,,,,,,,,
2012-01-07,6.8,0.29585799,6.8,6.8,6.8,6.8,0.0,,,,,,,,,,,,,,
2012-01-08,6.92,5.0,6.9,7.0,6.9,7.0,1.4492753623188355,,,,,,,,,,,,,,
2012-01-09,6.6255302208,66.8693229,6.99,6.99,6.23,6.3,-9.871244635193138,,,,,,,,,,,,,,
2012-01-10,6.63355620316,62.28998018,6.24,7.14,6.24,7.14,14.423076923076913,,,,,,,,,,,,,,
2012-01-11,7.05219374195,105.35893402,7.14,7.33,6.25,7.0,-1.9607843137254857,,,,,,,,,,,,,,
2012-01-12,7.2667044125,82.30163181,6.95,7.38,6.51,6.51,-6.330935251798567,,,,,,,,,,,,,,
2012-01-13,7.0438295775,48.97014484,6.8,7.36,6.6,6.6,-2.941176470588238,,,,,,,,,,,,,,
2012-01-14,6.44373960561,16.836,6.5,6.5,6.3,6.3,-3.0769230769230793,,,,,,,,,,,,,,
2012-01-15,7.15,16.6993007,7.15,7.15,7.15,7.15,0.0,,,,,,,,,,,,,,
2012-01-16,6.85808929954,12.64929577,6.2,7.1,6.2,7.1,14.516129032258055,,,,,,,,,,,,,,
2012-01-17,6.12819805341,80.51400824,6.5,6.9,6.0,6.0,-7.6923076923076925,,,,,,,,,,,,,,
2012-01-18,6.15176079213,133.44676912,5.99,7.1,5.99,7.1,18.530884808013344,,,,,,,,,,,,,,
2012-01-19,6.25100260435,246.71581895,5.52,7.0,5.52,6.22,12.681159420289859,,,,,,,,,,,,,,
2012-01-20,6.75392637081,95.82599863,6.9,6.95,6.55,6.95,0.7246376811594177,,,,,,,,,,,,,,
2012-01-21,6.29208123552,81.41385241,6.3,6.77,6.28,6.77,7.460317460317456,,,,,,,,,,,,,,
2012-01-22,6.16956114034,81.27103303,6.79,6.83,6.03,6.79,0.0,,,,,,,,,,,,,,
2012-01-23,6.4104489542,94.92062909,6.5,6.52,6.0,6.52,0.30769230769230116,,,,,,,,,,,,,,
2012-01-24,6.44423500753,85.44624147,6.52,6.57,6.0,6.55,0.4601226993865069,,,,,,,,,,,,,,
2012-01-25,6.23731456812,81.1232564,6.26,6.86,6.0,6.31,0.7987220447284317,,,,,,,,,,,,,,
2012-01-26,6.14731751724,29.91907058,6.27,6.3,5.5,5.5,-12.280701754385959,,,,,,,,,,,,,,
2012-01-27,5.73890012008,92.07999287,3.8,6.03,3.8,5.88,54.736842105263165,,,,,,,,,,,,,,
2012-01-28,4.91,0.25,4.91,4.91,4.91,4.91,0.0,,,,,,,,,,,,,,
2012-01-29,5.5220853758,9.45484643,5.89,5.9,5.3,5.5,-6.621392190152796,,,,,,,,,,,,,,
2012-01-30,5.53567282322,15.16,5.3,5.58,5.3,5.58,5.283018867924533,,,,,,,,,,,,,,
2012-01-31,5.7833416592,110.50333334,5.7,6.22,3.8,5.3,-7.0175438596491295,,,,,,,,,,,,,,
2012-02-01,5.90462258905,12.05880628,5.53,5.99,5.52,5.88,6.329113924050627,,,,,,,,,,,,,,
2012-02-02,6.14281350922,251.00093001,5.99,6.28,5.89,6.28,4.841402337228715,,,,,,,,,,,,,,
2012-02-03,6.11208404606,155.5524532,6.29,6.35,5.93,6.3,0.158982511923685,,,,,,,,,,,,,,
2012-02-04,6.03045882527,67.63499409,6.35,6.5,5.94,5.94,-6.456692913385815,,,,,,,,,,,,,,
2012-02-05,5.85922278662,47.85042396,5.93,6.15,5.6,5.6,-5.564924114671165,,,,,,,,,,,,,,
2012-02-06,5.54687787514,29.17833833,5.6,5.9,5.2,5.6,0.0,,,,,,,,,,,,,,
2012-02-07,5.66568322075,165.40541896,5.5,5.88,5.5,5.69,3.4545454545454617,,,,,,,,,,,,,,
2012-02-08,5.71162489112,83.57202011,5.79,5.87,5.66,5.87,1.381692573402419,,,,,,,,,,,,,,
2012-02-09,5.77621304562,83.60318875,5.52,5.89,5.51,5.89,6.7028985507246395,,,,,,,,,,,,,,
2012-02-10,5.87934334784,176.93050375,5.88,5.88,5.8,5.88,0.0,,,,,,,,,,,,,,
2012-02-11,5.52005463297,1.8794878,5.71,5.71,5.5,5.5,-3.6777583187390537,,,,,,,,,,,,,,
2012-02-12,5.72597482838,64.8434324,5.78,5.78,5.55,5.67,-1.9031141868512167,,,,,,,,,,,,,,
2012-02-13,5.72545693342,99.78443902,5.53,5.79,5.5,5.79,4.701627486437609,,,,,,,,,,,,,,
2012-02-14,5.16208334821,128.34493428,5.2,5.8,4.56,4.89,-5.961538461538471,,,,,,,,,,,,,,
2012-02-15,4.95222043009,67.78916535,4.9,5.08,4.69,4.69,-4.285714285714285,,,,,,,,,,,,,,
2012-02-16,4.62834421255,115.6239213,4.5,4.98,4.15,4.51,0.2222222222222175,,,,,,,,,,,,,,
2012-02-17,4.70528674775,244.67028923,4.67,4.8,4.5,4.67,0.0,,,,,,,,,,,,,,
2012-02-18,4.40772181604,254.39025201,4.67,4.73,4.14,4.23,-9.421841541755878,,,,,,,,,,,,,,
2012-02-19,4.32882757458,92.68354434,4.38,4.38,4.3,4.38,0.0,,,,,,,,,,,,,,
2012-02-20,4.55754296133,315.93925361,4.72,4.72,4.4,4.44,-5.932203389830495,,,,,,,,,,,,,,
2012-02-21,4.45016115515,358.44920149,4.52,4.58,4.3,4.58,1.3274336283185952,,,,,,,,,,,,,,
2012-02-22,4.53276630259,75.30876636,4.47,4.59,4.46,4.51,0.8948545861297548,,,,,,,,,,,,,,
2012-02-23,4.91876692117,714.84400933,4.59,5.22,4.55,5.22,13.72549019607843,,,,,,,,,,,,,,
2012-02-24,5.14793325182,37.59711782,5.12,5.22,4.95,4.95,-3.3203124999999987,,,,,,,,,,,,,,
2012-02-25,5.01246160392,119.80740151,5.11,5.11,5.0,5.0,-2.1526418786692822,,,,,,,,,,,,,,
2012-02-26,4.92420537897,40.9,4.79,5.07,4.78,4.98,3.9665970772442667,,,,,,,,,,,,,,
2012-02-27,5.05757765525,309.05231411,4.97,5.1,4.95,5.04,1.4084507042253578,,,,,,,,,,,,,,
2012-02-28,5.0235497397,440.24138707,5.09,5.1,4.71,4.88,-4.125736738703339,,,,,,,,,,,,,,
2012-02-29,4.94501538203,242.23784635,4.97,5.0,4.85,4.99,0.4024144869215385,,,,,,,,,,,,,,
2012-03-01,4.99731872037,291.16358119,4.99,5.05,4.9,5.0,0.20040080160320214,,,,,,,,,,,,,,
2012-03-02,4.74270808102,245.97471171,4.99,4.99,4.64,4.79,-4.008016032064131,,,,,,,,,,,,,,
2012-03-03,4.68442141316,125.91831514,4.81,4.99,4.6,4.65,-3.3264033264033115,,,,,,,,,,,,,,
2012-03-04,4.79598210271,113.6084153,4.78,4.81,4.77,4.81,0.6276150627614929,,,,,,,,,,,,,,
2012-03-05,4.96071773773,518.05455153,4.8,5.06,4.77,5.06,5.4166666666666625,,,,,,,,,,,,,,
2012-03-06,4.99459001082,296.62794242,5.0,5.05,4.95,4.98,-0.39999999999999153,,,,,,,,,,,,,,
2012-03-07,5.07346069042,373.49234495,5.05,5.09,4.93,4.93,-2.3762376237623783,,,,,,,,,,,,,,
2012-03-08,4.96110698215,326.5657549,4.94,5.08,4.87,5.01,1.4170040485829836,,,,,,,,,,,,,,
2012-03-09,5.02792474282,277.58947934,5.01,5.07,4.93,4.93,-1.5968063872255505,,,,,,,,,,,,,,
2012-03-10,4.85743964058,114.04892826,4.91,4.99,4.85,4.94,0.6109979633401272,,,,,,,,,,,,,,
